id,title,created_at,updated_at,published,open,collaboration,slug,length,kind,status,user_id,follower_count,contents,collaborators
594069,preservation,2020-02-17T22:34:05.615Z,2020-02-17T22:34:05.615Z,True,False,False,preservation-sfvkwduxxaa,0,default,closed,104957,0
594062,👾,2020-02-17T22:28:09.895Z,2020-03-09T21:55:04.156Z,True,True,False,6u-hbnypnie,4,default,public,135457,0
594061,Erika Ng,2020-02-17T22:27:54.254Z,2020-02-17T22:27:54.254Z,True,True,False,erika-ng,0,profile,public,153040,0
594060,Kate Raworth,2020-02-17T22:24:07.707Z,2020-02-17T22:24:29.012Z,True,True,False,kate-raworth,1,default,public,64683,0
594057,Language/Linguistics,2020-02-17T22:21:57.865Z,2020-02-24T03:06:09.286Z,True,True,False,language-linguistics,5,default,public,58484,0
594056,universal experiences that don't have distinct signifiers ,2020-02-17T22:20:52.595Z,2020-02-17T22:20:52.595Z,True,True,False,universal-experiences-that-don-t-have-distinct-signifiers,0,default,public,145496,0
594054,Architecture ALL,2020-02-17T22:18:50.865Z,2020-02-17T23:40:02.038Z,True,False,False,architecture-all,136,default,closed,152361,0
594051,Sobre viver,2020-02-17T22:11:18.102Z,2020-02-18T15:19:18.767Z,True,False,False,sobre-viver,1,default,closed,105070,0
594050,Pretty Lucky,2020-02-17T22:11:10.075Z,2020-02-18T08:14:04.433Z,True,False,True,pretty-lucky,27,default,closed,71182,0
594049,companies,2020-02-17T22:08:10.325Z,2020-02-17T22:08:14.388Z,True,False,False,companies-3b84bochqua,1,default,closed,152092,0
594046,CHAIR ,2020-02-17T22:05:39.829Z,2020-02-18T01:35:23.877Z,True,False,False,chair-y_tts-koofq,6,default,closed,90899,0
594045,No Photoshop,2020-02-17T22:05:31.297Z,2020-03-09T23:37:04.937Z,True,False,False,no-photoshop,76,default,closed,24120,0
594044,Phil Richards,2020-02-17T22:04:29.089Z,2020-02-17T22:04:29.089Z,True,True,False,phil-richards,0,profile,public,153039,0
594042,brainme brainme,2020-02-17T22:01:40.962Z,2020-02-17T22:01:40.962Z,True,True,False,brainme-brainme,0,profile,public,153038,0
594035,Connor Morgan,2020-02-17T21:55:32.243Z,2020-02-17T21:55:32.243Z,True,True,False,connor-morgan,0,profile,public,153037,0
594033,Type Foundries,2020-02-17T21:53:51.821Z,2020-02-20T20:06:44.078Z,True,False,False,type-foundries-nfnsyyr0yrc,19,default,closed,147116,0
594029,Florian Nothegger,2020-02-17T21:49:04.279Z,2020-02-17T21:49:04.279Z,True,True,False,florian-nothegger,0,profile,public,153036,0
594025,Kinjaz WuTang,2020-02-17T21:45:07.972Z,2020-02-19T05:47:19.256Z,True,False,False,kinjaz-wutang,13,default,closed,79507,0
594022,provenance,2020-02-17T21:44:15.011Z,2020-02-17T21:44:15.011Z,True,False,False,provenance,0,default,closed,109546,0
594021,Novaliv General,2020-02-17T21:43:24.265Z,2020-03-09T23:49:43.087Z,True,False,False,novaliv-general,24,default,closed,153009,0
594019,Emma Safir,2020-02-17T21:42:47.685Z,2020-02-17T21:42:47.685Z,True,True,False,emma-safir,0,profile,public,153035,0
594016,Athens,2020-02-17T21:39:27.990Z,2020-02-17T21:40:30.515Z,True,True,False,athens-cf27ykcmdru,1,default,public,24259,0
594013,Eduard Eremchuk,2020-02-17T21:37:32.896Z,2020-02-17T21:37:32.896Z,True,True,False,eduard-eremchuk,0,profile,public,153034,0
594012,Lauren Heath,2020-02-17T21:35:30.975Z,2020-02-17T21:35:30.975Z,True,True,False,lauren-heath,0,profile,public,153024,0
594011,analog,2020-02-17T21:35:26.103Z,2020-03-05T14:30:19.690Z,True,False,False,analog-ao9mj-lub04,3,default,closed,24705,0
