,away_team.statistics.fumbles.team.lost,away_team.statistics.kickoffs.team.ret,away_team.statistics.fourth_down_efficiency.team.att,away_team.statistics.passing.team.rating,home_team.statistics.kickoffs.team.kicks,home_team.statistics.fourth_down_efficiency.team.att,home_team.statistics.passing.team.rating
1579,0,0,1,111.5,5,2,99.3
1580,3,1,0,86.9,7,1,66.2
1581,0,2,3,36.3,4,0,92.3
1587,0,2,4,66.5,5,2,133.2
1589,1,3,0,116.6,5,0,109.3
1588,0,5,1,117.7,4,4,91.3
1586,1,2,4,61.7,8,1,139.7
1584,1,6,1,118.7,4,1,79.9
1583,0,3,1,110.7,2,5,47.5
1582,0,3,1,92.2,6,2,76.4
1585,0,1,1,122.4,4,1,57.1
1590,2,3,1,101.8,5,2,115.4
1591,1,0,2,39.0,4,1,105.7
1592,0,3,0,76.0,3,1,74.4
1593,0,1,2,62.3,4,0,69.9
1594,0,2,0,72.7,4,1,49.6
1595,0,0,1,76.9,5,2,104.6
1601,1,0,1,112.7,6,1,114.4
1604,1,0,4,86.6,5,0,69.0
1603,0,4,0,70.4,3,0,84.1
1602,0,2,1,65.5,8,0,118.1
1599,1,2,0,75.4,3,1,75.8
1598,1,2,0,50.9,6,0,46.0
1597,0,0,0,108.2,6,3,67.7
1596,0,2,0,32.4,5,0,92.9
1600,1,1,1,54.4,7,0,127.8
1605,1,2,2,81.3,7,0,155.8
1606,0,1,1,64.2,4,1,70.8
1607,1,0,3,76.3,7,0,145.8
1608,0,2,3,137.3,3,1,62.0
1609,0,1,1,118.1,5,1,87.6
1610,0,0,2,136.5,3,3,91.8
1611,0,2,0,86.0,5,4,83.1
1618,0,3,2,71.4,5,0,88.0
1617,2,1,1,131.3,4,0,74.9
1619,0,1,0,69.9,4,2,81.6
1616,1,1,2,89.0,3,3,61.0
1613,1,3,2,67.8,5,0,95.7
1614,0,6,1,125.4,4,4,49.4
1612,1,2,2,110.2,4,3,86.3
1615,0,1,0,93.6,7,3,121.5
1620,0,0,1,117.5,2,4,56.4
1621,1,1,2,71.8,7,1,81.8
1622,1,2,1,106.3,5,0,84.5
1623,0,0,2,85.9,5,0,141.0
1624,2,2,1,87.2,8,1,98.9
1625,0,3,3,83.2,6,0,115.5
1634,0,2,2,71.3,6,0,38.9
1633,0,0,0,74.6,5,2,96.6
1632,0,1,0,136.0,5,4,63.1
1630,0,5,1,137.0,9,3,136.1
1631,0,1,1,60.9,5,1,111.4
1628,1,1,3,93.6,7,1,103.6
1627,2,0,0,76.6,8,0,109.1
1626,0,5,0,102.5,5,1,62.6
1629,0,4,0,65.7,5,1,86.6
1635,0,4,0,152.4,3,4,84.4
1636,0,4,0,140.4,4,1,115.1
1637,1,5,1,83.6,4,3,67.8
1638,2,3,1,117.5,4,3,67.2
1639,0,2,2,69.8,5,0,92.3
1640,0,1,0,94.2,4,2,97.5
1641,1,1,2,85.2,7,1,130.6
1649,0,0,2,124.9,4,1,54.4
1648,1,2,3,64.5,4,3,78.2
1647,0,1,3,50.8,5,0,115.7
1646,1,3,3,93.4,6,0,86.6
1644,1,3,0,109.3,6,0,121.3
1643,0,0,1,117.2,5,0,57.3
1642,0,2,1,86.6,4,2,39.2
1645,0,3,0,92.1,4,2,89.8
1650,0,3,0,96.6,3,2,71.2
1651,0,2,1,102.8,4,0,93.2
1652,1,4,1,90.0,7,1,98.6
1653,1,2,0,95.0,6,1,90.3
1654,0,0,2,84.5,9,1,123.8
1655,1,3,1,65.3,3,1,43.9
1656,0,0,2,66.4,6,0,148.9
1657,1,5,1,62.5,5,1,46.8
1658,0,3,2,102.7,6,2,111.0
1659,0,1,0,85.7,6,0,71.2
1660,0,1,0,132.1,7,0,125.1
1661,0,4,1,116.6,5,1,133.6
1662,0,1,1,68.9,5,1,95.5
1663,1,2,3,104.5,6,0,103.0
1664,0,0,4,48.0,7,2,63.7
1665,1,2,1,120.1,4,0,84.4
1666,1,3,4,73.4,5,0,85.8
1667,0,3,1,118.2,4,1,89.6
1668,0,1,1,78.0,6,1,99.9
1669,0,2,1,86.5,4,1,78.6
1670,1,3,2,74.5,4,1,108.2
1671,0,2,0,112.1,2,3,65.4
1672,2,0,0,68.3,3,2,57.0
