"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","11585.7786322753","14115.5758149546","17478.97406204","20392.4959009318","22030.0880107183","24157.8460594025","25143.2421538458","26736.920400304","29071.4729212339","29426.4478860615","29689.0625","32090.6718470234","34150.2343114452","34647.6040671872","36911.0541203923","36997.5672242675","36582.0279602493","37292.4332848882","40400.2552234725","41707.0708080495","43041.037745205","46244.8874750548","48481.6196057539","44088.5121482431","42087.558646195","44724.9279736589","44237.51950078","44794.9282176058","45705.0899069131","46175.5206486424","45178.8847356778","45878.1770210504","","",
"Afghanistan","AFG","GDP per capita (current LCU)","NY.GDP.PCAP.CN","2689.79372284434","2693.7393245585","2630.61067272948","3541.78743933511","3694.28538209325","4549.87371840198","6191.74584238999","7240.43649925971","5809.87453961681","5819.83707944793","7043.35227493417","7180.54103348498","6089.27887414486","6441.50922750363","7814.41940876262","8392.99037130905","8885.04783980151","10090.115877651","11130.9347856167","12049.7592359617","12024.0980971752","13073.5102139265","","","","","","","","","","","","","","","","","","","","","8060.02279125888","9347.56846570382","10102.1204743831","12012.1578869675","13167.1682899691","17911.788025152","18578.8085581429","21542.3889919613","24883.279317368","28234.406301763","33015.0446533555","35290.4956831028","35254.4649012547","35531.1966433738","37141.9587974246","37896.4606379696","37680.8181245105","",
"Angola","AGO","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","2.12711489490533E-05","1.92188402622156E-05","1.85480038946157E-05","1.86520954169907E-05","1.90791642720968E-05","2.26864682790408E-05","2.05032809526758E-05","2.26273546425802E-05","2.37057093569418E-05","2.66453797628535E-05","2.83553091279943E-05","5.71479841334337E-05","0.000300220440808933","0.00224855753886658","0.050215691985343","1.07673561796075","58.0174503786929","117.794220785028","166.397551603066","1082.19208213038","5590.9396453521","11631.8702391095","37979.8597179347","73335.0757407825","104891.578085146","165813.4194577","208922.217533476","239476.10955141","306206.909187351","247724.577200578","329746.97199627","433553.066124","486895.946607468","507192.309963415","531659.731898179","500290.497730611","573791.266508113","679560.900011631","867898.297948553","",
"Albania","ALB","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","5610.77351509002","5691.06430682275","5735.33964640025","5676.07139340919","5486.77898478496","5490.04945422263","5550.9877970711","5398.34706455593","5222.19457117253","5583.96477261216","4937.84348412404","4846.85272086666","15070.4441800668","37485.4359094806","55488.6492310609","69579.1559277542","105541.555280516","105239.729236367","123012.536239064","142690.677816171","162251.411204888","184123.18846026","200095.794507393","222968.1380806","243696.866702633","267031.938042568","291636.221586495","325091.661091502","366664.712344867","390753.21458204","425553.25897067","447689.081111595","459526.451687198","466324.61075503","482954.102725274","497901.560834282","511970.591436114","539865.858441591","568978.734820554","",
"Andorra","AND","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","1362.46086669962","1460.48749951094","1629.09415439536","1870.82742986682","2191.05352303523","2473.33984693047","2875.97004122479","3538.50050349394","4206.96861013131","4768.53064506864","5333.42667812682","5755.552","6345.65884338089","6915.52842146475","7467.66964829298","7945.43049327354","8721.54051207086","9362.45795067589","10014.4803109014","10790.9205308115","11564.9727567925","12198.0713239576","12643.0070642576","12633.4486887209","13070.644734113","13834.7220046985","14477.7750155376","16150.6925552256","16965.3908515481","18079.0414789498","23809.9097721364","24840.735955807","26290.3110679667","29039.9278511109","31010.7024815067","33194.8723800829","34871.2851727927","35494.1705771371","32622.8804464477","31195.316292341","30000.9473173158","29567.8651175564","29881.22823832","30600.0693292396","31881.7618320225","32496.9555575496","33650.5944603283","34727.8606771341","35607.6149910397","",
"Arab World","ARB","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","106352.167878592","119060.0104715","132022.563589286","110161.721970346","127874.567077614","158544.946636077","165148.047163531","146936.056304655","127909.030745023","118609.304227065","109105.495387084","86150.9423526321","87098.7052146151","81845.4813756787","88207.4960551805","101794.871233932","97693.8837562134","96991.0238780335","93965.4573407407","94887.7368009292","99932.0936279807","106367.30906619","108340.988604315","98788.7874864834","104559.152052876","122262.737622932","114878.680263141","115931.547207539","123025.421801908","133433.860054024","144569.555996471","153904.947271542","153545.448915987","163422.335960275","117608.806937454","124473.157155308","143942.449890055","150486.195189549","155760.384696089","160678.6283091","141991.277029872","140075.932220772","146208.228442225","157935.691209035","",
"Argentina","ARG","GDP per capita (current LCU)","NY.GDP.PCAP.CN","6.42077607614065E-09","8.01292492491569E-09","1.00758948590492E-08","1.17954272277722E-08","1.64710912658638E-08","2.17449288143089E-08","2.67288629763402E-08","3.50639356903752E-08","3.99378161733029E-08","4.65170523102878E-08","5.02584491922112E-08","6.86187180798531E-08","1.12709216228741E-07","1.88732033177209E-07","2.56037729722945E-07","7.50114741618423E-07","3.89644926154633E-06","1.0648541339779E-05","2.61856469540591E-05","7.03337149224514E-05","0.000137665873772672","0.00026375058130913","0.00075891102718473","0.00374170679173607","0.0265970853304323","0.175567613735629","0.325225958765253","0.748203870426942","3.50696829250633","100.909120759544","2112.96289843501","5468.66607213035","6759.39636245596","6962.14896972224","7483.13968170844","7408.70823818765","7721.35454273963","8213.12719994479","8289.50572933118","7774.73620280001","7708.10099605414","7208.3715665121","8295.26251554831","9869.53378435359","12603.022643267","14977.9962045031","18221.0866549395","22602.9005706162","28683.6701899394","30826.1691092027","40739.9840807887","52810.1167359686","63208.8926890011","79338.285078988","107315.211694536","138053.315160733","188760.95646864","241680.655621385","328260.564619871","",
"Armenia","ARM","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2192109991292","22.7344178374317","90.097731015038","1254.31892166413","56968.3247722744","162324.992758011","208700.410261784","256722.676374658","307327.494726873","319662.23986103","335985.575928519","385446.556791962","449071.054569282","538329.790068166","635829.200991762","752324.22837389","897874.966999706","1073881.22148879","1227199.58398937","1087794.64089094","1202578.75473661","1313365.44137432","1479237.7789697","1572219.54566287","1657952.6597109","1723993.10489333","1725831.58330682","1889593.96008366","2034388.14462886","",
"American Samoa","ASM","GDP per capita (current LCU)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8700.06770480704","8856.54745899435","8578.94472277609","8444.98169974145","8391.56106721708","8909.44915617236","9792.66680581646","11961.2582255703","10271.2245225485","10294.3022651052","11568.7930012395","11505.3937142139","11507.2323493037","11843.3311832581","11696.9555623329","10823.4448040273","11466.6907058505","",
